instance;n_colors;mode_var_heuristic;mode_val_heuristic;forward_checking;arc_consistency;time_limit (s);termination_status;convergence_time (s);n_nodes_open;solution_found
instances/carto_queen5_5_opti5.txt;5.0;4.0;2.0;1.0;1.0;200;True;0.012261629104614258;27;True
instances/carto_queen5_5_opti5.txt;6.0;1.0;1.0;1.0;1.0;200;True;0.022567272186279297;68;True
instances/carto_queen5_5_opti5.txt;6.0;1.0;2.0;1.0;1.0;200;True;0.026768207550048828;68;True
instances/carto_queen5_5_opti5.txt;6.0;2.0;1.0;1.0;1.0;200;True;0.009043455123901369;25;True
instances/carto_queen5_5_opti5.txt;6.0;2.0;2.0;1.0;1.0;200;True;0.009000539779663086;25;True
instances/carto_queen5_5_opti5.txt;6.0;3.0;1.0;1.0;1.0;200;True;0.012120723724365234;37;True
instances/carto_queen5_5_opti5.txt;6.0;3.0;2.0;1.0;1.0;200;True;0.013542652130126951;37;True
instances/carto_queen5_5_opti5.txt;6.0;4.0;1.0;1.0;1.0;200;True;0.047180891036987305;112;True
instances/carto_queen5_5_opti5.txt;6.0;4.0;2.0;1.0;1.0;200;True;0.04899907112121582;112;True
instances/carto_le450_5a_opti5.txt;4.0;1.0;1.0;1.0;1.0;200;False;200.0019729137421;127017;False
instances/carto_le450_5a_opti5.txt;4.0;1.0;2.0;1.0;1.0;200;False;200.00076603889462;124166;False
instances/carto_le450_5a_opti5.txt;4.0;2.0;1.0;1.0;1.0;200;True;0.7433924674987793;424;False
instances/carto_le450_5a_opti5.txt;4.0;2.0;2.0;1.0;1.0;200;True;0.7371878623962402;424;False
instances/carto_le450_5a_opti5.txt;4.0;3.0;1.0;1.0;1.0;200;False;200.0018856525421;121099;False
instances/carto_le450_5a_opti5.txt;4.0;3.0;2.0;1.0;1.0;200;False;200.00109124183655;118059;False
instances/carto_le450_5a_opti5.txt;4.0;4.0;1.0;1.0;1.0;200;True;4.2025299072265625;832;False
instances/carto_le450_5a_opti5.txt;4.0;4.0;2.0;1.0;1.0;200;True;4.124369382858276;832;False
instances/carto_le450_5a_opti5.txt;5.0;1.0;1.0;1.0;1.0;200;False;200.0021905899048;92606;False
instances/carto_le450_5a_opti5.txt;5.0;1.0;2.0;1.0;1.0;200;False;200.0036509037017;92111;False
instances/carto_le450_5a_opti5.txt;5.0;2.0;1.0;1.0;1.0;200;False;200.00088787078857;95807;False
instances/carto_le450_5a_opti5.txt;5.0;2.0;2.0;1.0;1.0;200;False;200.00176572799683;93664;False
instances/carto_le450_5a_opti5.txt;5.0;3.0;1.0;1.0;1.0;200;False;200.00080585479736;98701;False
instances/carto_le450_5a_opti5.txt;5.0;3.0;2.0;1.0;1.0;200;False;200.0018904209137;91340;False
instances/carto_le450_5a_opti5.txt;5.0;4.0;1.0;1.0;1.0;200;False;200.00660014152527;34164;False
instances/carto_le450_5a_opti5.txt;5.0;4.0;2.0;1.0;1.0;200;False;200.00216126441958;33594;False
instances/carto_le450_5a_opti5.txt;6.0;1.0;1.0;1.0;1.0;200;False;200.00451564788816;69331;False
instances/carto_le450_5a_opti5.txt;6.0;1.0;2.0;1.0;1.0;200;False;200.00723123550412;67755;False
instances/carto_le450_5a_opti5.txt;6.0;2.0;1.0;1.0;1.0;200;False;200.0039157867432;68641;False
instances/carto_le450_5a_opti5.txt;6.0;2.0;2.0;1.0;1.0;200;False;200.00112128257751;68210;False
instances/carto_le450_5a_opti5.txt;6.0;3.0;1.0;1.0;1.0;200;False;200.001948595047;70564;False
instances/carto_le450_5a_opti5.txt;6.0;3.0;2.0;1.0;1.0;200;False;200.0032787322998;68900;False
instances/carto_le450_5a_opti5.txt;6.0;4.0;1.0;1.0;1.0;200;False;200.00590825080872;31513;False
instances/carto_le450_5a_opti5.txt;6.0;4.0;2.0;1.0;1.0;200;False;200.0047845840454;35054;False
