nqueens;mode_var_heuristic;mode_val_heuristic;forward_checking;arc_consistency;time_limit (s);convergence_time (s);n_nodes_open;termination_status;solution_found
19.0;2.0;1.0;1.0;1.0;200;0.06197953224182129;55;True;True
19.0;2.0;2.0;1.0;1.0;200;5.379992723464966;3400;True;True
19.0;3.0;1.0;1.0;1.0;200;3.0494289398193364;2841;True;True
19.0;3.0;2.0;1.0;1.0;200;29.971153020858765;19176;True;True
19.0;4.0;1.0;1.0;1.0;200;3.549431562423706;2841;True;True
19.0;4.0;2.0;1.0;1.0;200;31.10354423522949;19176;True;True
20.0;1.0;1.0;1.0;1.0;200;200.00108337402344;144326;False;False
20.0;1.0;2.0;1.0;1.0;200;110.95033407211305;59117;True;True
20.0;2.0;1.0;1.0;1.0;200;2.7733657360076904;1396;True;True
20.0;2.0;2.0;1.0;1.0;200;27.977370738983154;14244;True;True
20.0;3.0;1.0;1.0;1.0;200;200.00128865242004;135025;False;False
20.0;3.0;2.0;1.0;1.0;200;110.76785254478456;59117;True;True
20.0;4.0;1.0;1.0;1.0;200;200.00044775009155;131937;False;False
20.0;4.0;2.0;1.0;1.0;200;128.50188660621643;59117;True;True
